,Фактор_1,Фактор_2,Фактор_3,Фактор_4,Фактор_5
В заведении выгодные цены [Евразия],0.15562874587605519,-0.05956590512409079,0.6735501406996448,-0.19108104090007505,0.08861084037914328
В заведении выгодные цены [Burger King в ТЦ Сенная],0.4399839011029991,0.3312490338045381,0.2393720352319695,0.051487343846625615,0.1118567995248479
В заведении выгодные цены [Rostic's в ТЦ Сенная],0.8345132822003037,0.13969383335951127,0.219735502126456,0.20647401685720448,-0.10720778412943455
В заведении выгодные цены [Вкусно - и точка в ПИКе],0.8242637537570684,0.1594630323366385,0.06487535268328196,0.2214050501736099,0.0006289598228491564
"В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Усы лисы]",0.30237154593033894,-0.3809319257498112,-0.0926809593156798,-0.46576998275367854,0.05479084772367145
"В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Столовая на БМ]",0.016570715371230976,-0.4708132640631434,-0.00018406637699651922,0.4563959301318559,0.11454538571429908
"В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Теремок]",0.19249563605223252,0.09322102625013273,0.6841501642098758,0.21486566083887265,-0.05258833591589665
"В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Евразия]",0.2809535176618657,-0.0018121653546900964,0.4834010578098676,0.16758331495267806,0.010992988031225911
"В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Burger King в ТЦ Сенная]",0.7042277864707861,-0.038195431756976275,-0.014031066834769203,0.2778004409467783,0.3929729965828973
"В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Rostic's в ТЦ Сенная]",0.7463291272010003,-0.06586758850893662,-0.028540192266124496,0.2385902198868173,0.43091513044441604
"В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Вкусно - и точка в ПИКе]",0.7123234088835302,-0.09637589945698233,-0.06771165644201654,0.28156726286808625,0.4583532827866111
